0,1150,6,2900,15,-,-,-,-
1,1028,6,210,3,1065,5,73,4
2,945,9,116,3,979,6,66,3
3,855,4,540,3,894,2,144,2
4,763,9,334,3,807,3,120,3
5,676,6,247,4,724,4,108,3
6,-,-,-,-,636,7,100,3
