Messzeit [s];Dicke der Aluminiumschicht [mm];Ereignisse;Fehler Ereignisse
30;0;533;23
30;0,3;373;19
30;0,6;286;17
30;0,9;183;14
30;1,2;135;12
30;1,5;72;8
30;1,8;49;7
30;2,1;35;6
120;2,4;90;9
120;2,7;96;10
120;3;69;8
120;3,3;74;9
120;3,6;82;9
120;3,9;79;9
300;4,9;166;13
