Data from Subt6__3__16-26-38-426.txt Node

Date: Wed Oct 20 16:26:38 CEST 2021
User: Praktikum
Spectrometer: USB4F03543
Trigger mode: 4
Integration Time (sec): 1,000000E-1
Scans to average: 40
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
179,969	-20,09
180,181	-20,09
180,394	-20,09
180,606	5,35
180,819	-0,94
181,031	48,16
181,243	-31,46
181,456	-61,67
181,668	18,05
181,88	66,64
182,093	23,27
182,305	-17,48
182,518	-15,38
182,73	31,67
182,942	13,29
183,155	-47,33
183,367	-27,77
183,579	21,28
183,791	-6,11
184,004	42,88
184,216	32,44
184,428	23,53
184,641	21,28
184,853	66,08
185,065	13,24
185,277	-8,11
185,49	3,31
185,702	33,21
185,914	20,61
186,126	56,61
186,338	-51,53
186,551	38,28
186,763	-4,37
186,975	67,41
187,187	-15,07
187,399	32,64
187,612	50,72
187,824	5,15
188,036	23,22
188,248	25,12
188,46	32,75
188,672	-5,24
188,885	25,07
189,097	-7,45
189,309	23,58
189,521	3,2
189,733	5,76
189,945	44,37
190,157	26,91
190,369	24,76
190,581	69,76
190,794	56,5
191,006	33,77
191,218	39,56
191,43	11,7
191,642	27,68
191,854	53,58
192,066	20,15
192,278	10,27
192,49	40,58
192,702	-10,82
192,914	40,22
193,126	-32,89
193,338	34,9
193,55	50,21
193,762	21,89
193,974	84,82
194,186	3,72
194,398	18,05
194,61	-37,24
194,822	18,26
195,034	54,1
195,246	46,37
195,457	-3,14
195,669	33,87
195,881	44,83
196,093	46,72
196,305	77,7
196,517	39,45
196,729	7,4
196,941	-2,43
197,153	23,94
197,365	8,78
197,576	73,71
197,788	6,53
198	63,77
198,212	46,57
198,424	8,22
198,636	-3,09
198,847	27,63
199,059	14,88
199,271	32,39
199,483	46,21
199,695	4,28
199,906	45,29
200,118	31,16
200,33	36,02
200,542	7,66
200,753	2,9
200,965	37,56
201,177	33,92
201,389	0,8
201,6	52,3
201,812	18,82
202,024	33,16
202,235	41,35
202,447	24,5
202,659	-12,62
202,871	32,08
203,082	-11,9
203,294	55,17
203,506	32,23
203,717	9,4
203,929	-32,07
204,141	44,06
204,352	81,9
204,564	31,21
204,775	10,17
204,987	20,46
205,199	3,92
205,41	16,87
205,622	53,74
205,833	23,94
206,045	46,88
206,257	60,19
206,468	13,19
206,68	22,3
206,891	-1,81
207,103	56,91
207,314	37,66
207,526	25,27
207,737	48,62
207,949	21,84
208,16	30,14
208,372	29,93
208,583	5,41
208,795	-2,99
209,006	-18,66
209,218	9,25
209,429	84,15
209,641	24,66
209,852	-20,91
210,064	9,3
210,275	10,88
210,487	21,48
210,698	36,38
210,909	68,28
211,121	23,38
211,332	-9,44
211,544	8,12
211,755	58,6
211,966	13,03
212,178	22,86
212,389	36,33
212,6	32,9
212,812	79,24
213,023	34,74
213,234	3,77
213,446	48,21
213,657	87,53
213,868	-4,42
214,08	-19,22
214,291	64,34
214,502	54,1
214,714	34,08
214,925	-51,58
215,136	45,44
215,347	47,18
215,559	-26,34
215,77	52,46
215,981	5,46
216,192	47,7
216,404	11,14
216,615	61,62
216,826	21,64
217,037	25,58
217,249	34,23
217,46	11,81
217,671	93,98
217,882	-28,18
218,093	19,79
218,304	-14,2
218,516	60,65
218,727	59,47
218,938	22,92
219,149	23,02
219,36	24,4
219,571	23,99
219,782	41,19
219,993	52,92
220,205	6,33
220,416	-7,6
220,627	18
220,838	57,48
221,049	21,23
221,26	-10,11
221,471	11,81
221,682	4,07
221,893	-17,22
222,104	20,87
222,315	-10,06
222,526	16,93
222,737	36,18
222,948	24,35
223,159	38,74
223,37	56,96
223,581	-6,27
223,792	-5,04
224,003	46,16
224,214	43,4
224,425	58,45
224,636	9,3
224,847	34,95
225,058	89,42
225,269	45,44
225,48	42,53
225,691	26,76
225,902	85,28
226,112	27,37
226,323	38,63
226,534	57,07
226,745	55,12
226,956	-20,65
227,167	56,96
227,378	50,15
227,589	-8,57
227,799	39,97
228,01	89,37
228,221	19,49
228,432	-11,34
228,643	10,32
228,853	26,91
229,064	52,36
229,275	44,01
229,486	11,34
229,697	80,41
229,907	27,73
230,118	49,9
230,329	81,08
230,54	18,46
230,75	15,95
230,961	64,18
231,172	31,93
231,383	52,2
231,593	30,34
231,804	99,61
232,015	-6,73
232,225	65,72
232,436	48,11
232,647	33,67
232,857	58,45
233,068	-4,78
233,279	86,35
233,489	24,45
233,7	62,39
233,91	-14,56
234,121	-31,25
234,332	41,81
234,542	20,77
234,753	51,08
234,964	53,12
235,174	48,11
235,385	14,57
235,595	40,58
235,806	2,18
236,016	38,38
236,227	64,54
236,437	41,3
236,648	45,55
236,858	65
237,069	75,65
237,279	24,76
237,49	28,8
237,7	70,12
237,911	91,98
238,121	68,94
238,332	39,66
238,542	-4,58
238,753	38,84
238,963	100,43
239,174	87,99
239,384	53,99
239,595	37,56
239,805	32,08
240,015	39,91
240,226	89,42
240,436	89,83
240,647	70,28
240,857	7,25
241,067	32,23
241,278	57,94
241,488	119,99
241,698	7,45
241,909	67,66
242,119	22,2
242,329	73,14
242,54	15,29
242,75	33,41
242,96	47,44
243,171	22,2
243,381	25,58
243,591	15,59
243,801	30,9
244,012	65,82
244,222	65,97
244,432	60,19
244,642	30,34
244,853	33,97
245,063	17,64
245,273	82,87
245,483	51,69
245,694	65,16
245,904	41,04
246,114	61,21
246,324	30,29
246,534	0,49
246,744	82,77
246,955	59,16
247,165	76,42
