,wavel,error
0,330.1,1.8000000000000114
1,497.4,1.8000000000000114
2,466.3,1.3000000000000114
3,419.6,2.2000000000000455
4,415.5,1.0
5,514.4,1.2000000000000455
6,567.8,1.8000000000000682
7,582.0,1.1000000000000227
8,600.0,8.0
9,615.5,1.5
10,696.0,2.2000000000000455
11,706.2,1.6999999999999318
12,714.0,1.2999999999999545
13,726.7,1.099999999999909
14,737.8,1.7000000000000455
15,749.9,1.8999999999999773
16,762.2,1.5
17,765.0,1.7000000000000455
18,768.7,0.7999999999999545
19,771.3,1.1000000000000227
20,794.3,0.7000000000000455
21,800.8,1.900000000000091
22,810.8,2.5
23,818.9,2.1000000000000227
24,826.1,2.1000000000000227
25,841.0,3.0
